"subjID","partner_type","mean","sd","sem","n"
"101","same",1490.58823529412,475.471193254621,81.5426369191879,34
"101","different",1774.2380952381,412.183442748724,89.9458012668345,21
"102","same",1651.6875,660.507901163945,95.3361036347196,48
"102","different",1495.38461538462,423.737994975815,58.7618872402924,52
"103","same",1371.27777777778,403.18026993562,95.0305009706999,18
"103","different",1739.92857142857,911.697721533698,172.294674431599,28
"104","same",1445.5,567.3048686143,85.5244268607046,44
"104","different",1688.92105263158,852.514163521209,138.296059140514,38
"105","same",1285.48571428571,449.488426300557,75.9774111878282,35
"105","different",1384.57142857143,460.714053566243,87.066772232055,28
"106","same",1686.33333333333,407.494089936693,88.9225005896208,21
"106","different",1449.26315789474,468.895406086707,76.0648791370716,38
"108","same",1249.65909090909,305.07025063485,45.9910707297945,44
"108","different",1694.52941176471,736.267253655698,126.268792288713,34
"109","same",1338.55813953488,424.554236948287,64.7439141632636,43
"109","different",1517.90243902439,418.088794688284,65.2944998699424,41
"110","same",1359.10526315789,464.370413045546,75.3308283353277,38
"110","different",1224.48936170213,362.173143336073,52.828382473482,47
"111","same",1189.7,289.214292344883,52.8030639567288,30
"111","different",1178.73170731707,438.94305008681,68.551387386916,41
"112","same",1511.7,596.999471717328,94.3939046272016,40
"112","different",1728.59459459459,816.938371790249,134.303841013204,37
"113","same",1685.075,466.402235750238,73.7446685382782,40
"113","different",2333.45714285714,1149.80930242052,194.353244813427,35
"114","same",1532.16279069767,508.90493687228,77.6072753082271,43
"114","different",1303.81632653061,589.697721770421,84.2425316814887,49
"115","same",1947.44444444444,1078.7712630157,254.268825142527,18
"115","different",1597.56666666667,713.094648809623,130.192674929752,30
"116","same",1257.58333333333,505.915636451053,73.0226322230641,48
"116","different",1354.38709677419,321.253864041026,57.698897278357,31
"117","same",1296.07692307692,379.422232834649,60.7561816564163,39
"117","different",1497.58823529412,379.583273703649,65.0979943839375,34
"118","same",1628.13513513514,1060.34140629228,174.31905339239,37
"118","different",1276.19047619048,392.60122125571,60.5796836389645,42
"120","same",1231.22,321.292306989464,45.4375938030641,50
"120","different",1526.09375,674.082045325823,119.161996331497,32
"121","same",1041.51111111111,312.088538007335,46.5234123988618,45
"121","different",1203.85,463.308045188989,103.598828356512,20
"122","same",1553.85294117647,569.330661356636,97.6394029009119,34
"122","different",1168.73170731707,361.961739994039,56.5289265946146,41
"123","same",1281.08823529412,429.446463142826,73.6494608234492,34
"123","different",1095.01886792453,194.039001885033,26.6533067269689,53
"124","same",1231.27272727273,397.398772463101,59.9101191094512,44
"124","different",1567,798.68327122955,141.188589276667,32
"125","same",1466.51020408163,542.51655590901,77.5023651298586,49
"125","different",1784.30555555556,583.157210827134,97.192868471189,36
"126","same",1673.75675675676,733.618331188538,120.606110716042,37
"126","different",1606.98,803.353570213956,113.611351437742,50
"127","same",1426.90476190476,450.385407288827,69.4959771187071,42
"127","different",1376.85714285714,489.413381849468,69.9161974070669,49
"128","same",1126.65306122449,380.044216233476,54.2920308904966,49
"128","different",1217.69565217391,414.107923107825,61.0568822422595,46
"130","same",2009.58139534884,2180.28855923944,332.490888196549,43
"130","different",1682.85365853659,631.577808388468,98.6358822613883,41
"131","same",1459.90384615385,453.727838420199,62.9207302511333,52
"131","different",1608.8085106383,746.34834617559,108.86609516937,47
"132","same",1746.46808510638,1190.70178157881,173.681705246521,47
"132","different",1900.15555555556,983.246037727623,146.573665264419,45
"133","same",1354.02222222222,566.084216706349,84.3868526363412,45
"133","different",1765.375,1208.94586847519,213.713455421566,32
"134","same",2079.57142857143,1014.65046589663,156.563965928447,42
"134","different",2161.89361702128,1410.16578171323,205.693819760223,47
"135","same",1889.25490196078,842.436035391109,117.964640242569,51
"135","different",1733.88679245283,765.999614891883,105.218139086028,53
"136","same",1255.4347826087,465.754377431515,68.6717364962089,46
"136","different",1620.41860465116,793.985733125936,121.08168916619,43
"137","same",1571.33962264151,657.651560285543,90.3353892025574,53
"137","different",2096.96153846154,1154.63841995867,160.119539530065,52
"138","same",2627.06896551724,2211.43392283692,410.652970157406,29
"138","different",3050.4,2728.76040984894,431.454904200861,40
"139","same",1629.23404255319,1098.84572269913,160.283121999006,47
"139","different",1355.12,566.174943757471,80.069228413764,50
"140","same",1284.05769230769,307.750370794223,42.6772977669857,52
"140","different",1449.51351351351,749.88857030086,123.280921549324,37
"141","same",1673,1267.9370770557,175.83123636101,52
"141","different",2142.42857142857,1291.06454738143,199.215584678247,42
"142","same",1220.77083333333,405.474098109347,58.5251449232131,48
"142","different",1070.36734693878,307.397862026123,43.9139802894461,49
"143","same",1911.39534883721,1176.25942918208,179.377881290513,43
"143","different",1539.66666666667,661.76200748113,98.6496555769687,45
"145","same",1428.7037037037,653.018958077532,88.8646244252151,54
"145","different",3025.05555555556,3431.86694565865,467.017937888194,54
"146","same",1431.21276595745,495.569103511535,72.2861830703293,47
"146","different",1725.91666666667,1672.72779936849,241.437461311592,48
"147","same",2246.82978723404,1201.96971167708,175.325301774504,47
"147","different",2062.70212765957,904.245034963557,131.897694336973,47
"148","same",1705.65217391304,1662.23901500211,245.0837719689,46
"148","different",1861.60465116279,982.337788367139,149.805108309681,43
"149","same",1285.45652173913,401.56868550566,59.2080725215053,46
"149","different",1424.67567567568,419.351884463398,68.9410251303758,37
"151","same",1734,597.882875932514,107.382934508496,31
"151","different",1768.44736842105,813.654309269537,131.992158358873,38
"152","same",1449.46341463415,555.315815440231,86.7257599335398,41
"152","different",1458.425,661.247495754068,104.552409183269,40
"153","same",1531.95555555556,735.146551733226,109.589177540004,45
"153","different",1477.96226415094,498.991481438933,68.5417512960437,53
"154","same",1525.48979591837,1051.40683773474,150.200976819249,49
"154","different",1743.51515151515,567.599227074665,98.8063429714236,33
"155","same",1334.9,461.281588708711,65.2350678824867,50
"155","different",1521.70833333333,534.428386553905,77.1380932098686,48
"156","same",1713.57142857143,558.27939564154,105.504888782782,28
"156","different",1558.71794871795,586.902840910969,93.9796683780342,39
