"subjID","partner_type","mean","sd","sem","n"
"102","same",10.189306274568,8.12204602434328,1.17231636463128,48
"102","different",10.4758259459806,7.74673108243558,1.07427831288277,52
"104","same",20.1248286974533,11.0424226484013,1.66470785005772,44
"104","different",18.5580855834249,9.15921794446051,1.48582135139677,38
"105","same",13.8643576184301,8.4037841528665,1.42049878652304,35
"105","different",17.6116124982454,11.1019277116503,2.09806712846023,28
"106","same",10.8068664602599,7.58991344553146,1.65625489915767,21
"106","different",11.5369713850602,7.92525973360152,1.28564689681525,38
"108","same",18.0197115381678,7.87532571014775,1.18725002192724,44
"108","different",15.6202090778364,6.19605188806824,1.06261413227327,34
"109","same",12.2001634890564,12.801836340639,1.95226173957942,43
"109","different",13.6899806784895,11.2857339578747,1.76253552787528,41
"110","same",16.5404293654081,7.39935272401852,1.20033351433806,38
"110","different",14.229905441151,10.0921491687073,1.47209125268897,47
"111","same",12.8175815510536,9.89407426285181,1.80640255313174,30
"111","different",12.949252079152,8.97523354838649,1.40169598708034,41
"112","same",17.6251062332254,13.4577419234274,2.1278558320383,40
"112","different",17.8615822004812,11.1204118172556,1.82818444117535,37
"113","same",9.84376233169563,7.75974110185306,1.22692279675402,40
"113","different",8.8075697188526,8.20249758504719,1.3864751466806,35
"114","same",6.11838925337879,6.97355297535519,1.06345685888035,43
"114","different",8.3127372571673,7.32793546419618,1.0468479234566,49
"116","same",13.2254620980016,7.25511283898752,1.04718533764764,48
"116","different",9.31332163412267,9.24353979122818,1.66018875600005,31
"117","same",3.49069552500371,6.66834939471863,1.06779047750357,39
"117","different",3.51132160694293,6.55702998451149,1.12452136508073,34
"118","same",6.98680787393155,10.1641982951575,1.67098390649473,37
"118","different",11.9250762457772,9.07518207098953,1.4003309950696,42
"120","same",10.6140214623887,7.41642425615208,1.04884077673631,50
"120","different",7.95609246761426,6.69410174095521,1.18336118374553,32
"122","same",6.73999698477744,8.18406178753646,1.40355501728137,34
"122","different",13.9115567908729,9.63923919105871,1.50539624621172,41
"123","same",6.60362800987078,8.09159350671213,1.38769683794944,34
"123","different",6.95171759713727,7.00446842689904,0.962137733279639,53
"124","same",13.5085624361961,8.35090584352793,1.2589464246622,44
"124","different",12.4554012591902,7.65892677674585,1.35391976511205,32
"125","same",9.11461604527744,8.92930252765507,1.27561464680787,49
"125","different",7.77120194986551,7.3379012198075,1.22298353663458,36
