"subjID","partner_type","mean","sd","sem","n"
"101","same",0.653846153846154,0.480384461415261,0.0666173387526491,52
"101","different",0.403846153846154,0.495454451107437,0.0687071703124897,52
"102","same",0.857142857142857,0.3530939318019,0.0471841613625583,56
"102","different",0.928571428571429,0.259870097418821,0.0347266024860284,56
"103","same",0.339622641509434,0.478113127360488,0.0656738888055081,53
"103","different",0.509090909090909,0.504524979109513,0.0680301343049808,55
"104","same",0.830188679245283,0.379060024504126,0.0520678987362906,53
"104","different",0.716981132075472,0.454776297102637,0.0624683286405148,53
"105","same",0.7,0.462910049886276,0.0654653670707977,50
"105","different",0.549019607843137,0.502542555021804,0.0703700331173583,51
"106","same",0.39622641509434,0.493793114632085,0.0678277006998428,53
"106","different",0.678571428571429,0.471251442520786,0.0629736228905634,56
"108","same",0.8,0.403686713879666,0.0544331053951817,55
"108","different",0.618181818181818,0.4903101471559,0.066113406755368,55
"109","same",0.826923076923077,0.382004714381845,0.052974522506643,52
"109","different",0.773584905660377,0.422515790963998,0.0580370073240412,53
"110","same",0.745098039215686,0.440142579394539,0.0616322888058891,51
"110","different",0.903846153846154,0.297678296192606,0.0412805523275076,52
"111","same",0.612244897959184,0.492287455431794,0.0703267793473991,49
"111","different",0.82,0.388087934491604,0.0548839220351387,50
"112","same",0.714285714285714,0.455842305838552,0.0609144903873173,56
"112","different",0.660714285714286,0.477751769485737,0.0638422656193083,56
"113","same",0.727272727272727,0.449466574975495,0.0606060606060606,55
"113","different",0.648148148148148,0.482032152979384,0.0655962674674829,54
"114","same",0.767857142857143,0.426020547032073,0.0569293902400011,56
"114","different",0.875,0.333711906235957,0.0445941292507922,56
"115","same",0.391304347826087,0.493435163795169,0.0727530457855718,46
"115","different",0.612244897959184,0.492287455431794,0.0703267793473991,49
"116","same",0.872727272727273,0.336349986073009,0.0453534228699872,55
"116","different",0.563636363636364,0.500504795686366,0.0674880528827881,55
"117","same",0.735849056603774,0.445099098569262,0.061139063192527,53
"117","different",0.62962962962963,0.487438290097003,0.0663319495462434,54
"118","same",0.725490196078431,0.450707504820988,0.0631116742722787,51
"118","different",0.84,0.370328039909021,0.0523722936566382,50
"120","same",0.943396226415094,0.233295317934376,0.0320455764380546,53
"120","different",0.581818181818182,0.497806636970067,0.0671242332357016,55
"121","same",0.849056603773585,0.361419552443201,0.0496447935456809,53
"121","different",0.37037037037037,0.487438290097003,0.0663319495462434,54
"122","same",0.653846153846154,0.480384461415261,0.0666173387526491,52
"122","different",0.759259259259259,0.431547683593059,0.0587262013601689,54
"123","same",0.607142857142857,0.492805380304581,0.0658538889806635,56
"123","different",0.963636363636364,0.188918595406158,0.0254737782079161,55
